YEAR,SN,PRECIPITATION,TEMPERATURE,IRI,INITIAL_IRI,STATION_ID,AGE,ACCUMULATED_AADTT
1995,4.5,1249.900024,17.60000038,0.657200003,0.657200003,1_0101,2,775
1996,4.5,1314.5,16.79999924,0.681200004,0.657200003,1_0101,3,1573
1997,4.5,1550.300049,17,0.694799995,0.657200003,1_0101,4,2395
1998,4.5,1221.900024,18.5,0.738249993,0.657200003,1_0101,5,3242
1999,4.5,1144.800049,17.89999962,0.713600004,0.657200003,1_0101,6,4114
2000,4.5,1117.400024,17.39999962,0.7283,0.657200003,1_0101,7,5013
2001,4.5,1193.400024,17.39999962,0.743000007,0.657200003,1_0101,8,5938
2002,4.5,1192.199951,17.70000076,0.705800009,0.657200003,1_0101,9,6891
2003,4.5,1684.099976,17,0.73160001,0.657200003,1_0101,10,7873
2004,4.5,1259.599976,17.5,0.775600004,0.657200003,1_0101,11,8884
2005,4.5,1583.900024,17.5,0.785799992,0.657200003,1_0101,12,9926
1994,3.400000095,1491,17.60000038,0.946800005,0.946800005,1_0102,1,753
1995,3.400000095,1249.900024,17.60000038,0.897399998,0.946800005,1_0102,2,1528
1996,3.400000095,1314.5,16.79999924,0.910400009,0.946800005,1_0102,3,2326
1997,3.400000095,1550.300049,17,0.920299995,0.946800005,1_0102,4,3148
1998,3.400000095,1221.900024,18.5,1.068300003,0.946800005,1_0102,5,3995
1999,3.400000095,1144.800049,17.89999962,1.185200024,0.946800005,1_0102,6,4867
2000,3.400000095,1117.400024,17.39999962,1.2791,0.946800005,1_0102,7,5766
2001,3.400000095,1193.400024,17.39999962,1.372999978,0.946800005,1_0102,8,6691
2002,3.400000095,1192.199951,17.70000076,1.707799983,0.946800005,1_0102,9,7644
2003,3.400000095,1684.099976,17,2.183399916,0.946800005,1_0102,10,8626
2004,3.400000095,1259.599976,17.5,2.967999983,0.946800005,1_0102,11,9637
2005,3.400000095,1583.900024,17.5,3.098599958,0.946800005,1_0102,12,10679
1996,4.099999905,1314.5,16.79999924,0.793600011,0.793600011,1_0103,3,798
1997,4.099999905,1550.300049,17,0.759600008,0.793600011,1_0103,4,1620
1998,4.099999905,1221.900024,18.5,0.797799993,0.793600011,1_0103,5,2467
1999,4.099999905,1144.800049,17.89999962,0.831199992,0.793600011,1_0103,6,3339
2000,4.099999905,1117.400024,17.39999962,0.8287,0.793600011,1_0103,7,4238
2001,4.099999905,1193.400024,17.39999962,0.826199996,0.793600011,1_0103,8,5163
2002,4.099999905,1192.199951,17.70000076,0.774599993,0.793600011,1_0103,9,6116
2003,4.099999905,1684.099976,17,0.804399991,0.793600011,1_0103,10,7098
2004,4.099999905,1259.599976,17.5,0.801200008,0.793600011,1_0103,11,8109
2005,4.099999905,1583.900024,17.5,0.834399998,0.793600011,1_0103,12,9151
1996,6.400000095,1314.5,16.79999924,0.593999994,0.593999994,1_0104,3,798
1997,6.400000095,1550.300049,17,0.643200004,0.593999994,1_0104,4,1620
1998,6.400000095,1221.900024,18.5,0.6551,0.593999994,1_0104,5,2467
1999,6.400000095,1144.800049,17.89999962,0.63160001,0.593999994,1_0104,6,3339
2000,6.400000095,1117.400024,17.39999962,0.6397,0.593999994,1_0104,7,4238
2001,6.400000095,1193.400024,17.39999962,0.647800004,0.593999994,1_0104,8,5163
2002,6.400000095,1192.199951,17.70000076,0.615799999,0.593999994,1_0104,9,6116
2003,6.400000095,1684.099976,17,0.659799993,0.593999994,1_0104,10,7098
2004,6.400000095,1259.599976,17.5,0.656200004,0.593999994,1_0104,11,8109
2005,6.400000095,1583.900024,17.5,0.683799994,0.593999994,1_0104,12,9151
1996,3.700000048,1314.5,16.79999924,0.614400017,0.614400017,1_0105,3,798
1997,3.700000048,1550.300049,17,0.642800009,0.614400017,1_0105,4,1620
