YEAR,SN,PRECIPITATION,TEMPERATURE,IRI,INITIAL_IRI,STATION_ID,AGE,ACCUMULATED_AADTT
1995,2.9000000953674316,935.5,15.699999809265137,0.7793999910354614,0.7793999910354614,5_0113,2,639
1996,2.9000000953674316,1141.699951171875,15.100000381469727,0.7873999953269959,0.7793999910354614,5_0113,3,1381
1997,2.9000000953674316,1217.9000244140625,15.399999618530273,0.7953999996185303,0.7793999910354614,5_0113,4,2172
1998,2.9000000953674316,1196.5999755859375,17.299999237060547,0.8317999988794327,0.7793999910354614,5_0113,5,3063
1999,2.9000000953674316,884.2000122070312,16.700000762939453,0.868199998140335,0.7793999910354614,5_0113,6,3950
2000,2.9000000953674316,1057.800048828125,15.800000190734863,0.9045999974012374,0.7793999910354614,5_0113,7,4884
2001,2.9000000953674316,1293.800048828125,16.100000381469727,0.9409999966621398,0.7793999910354614,5_0113,8,5904
2002,2.9000000953674316,1353.800048828125,15.600000381469727,1.1715999841690063,0.7793999910354614,5_0113,9,6715
2003,2.9000000953674316,1425.300048828125,15.100000381469727,1.1278000116348266,0.7793999910354614,5_0113,10,7706
2004,2.9000000953674316,1387.800048828125,15.600000381469727,1.0847999691963195,0.7793999910354614,5_0113,11,8727
2005,2.9000000953674316,1012.7999877929688,16.100000381469727,1.1931999683380128,0.7793999910354614,5_0113,12,9779
2006,2.9000000953674316,1342.0999755859375,16.100000381469727,1.1902999877929688,0.7793999910354614,5_0113,13,10862
2007,2.9000000953674316,1266.5999755859375,16.0,1.1874000072479247,0.7793999910354614,5_0113,14,11978
2008,2.9000000953674316,1264.199951171875,14.5,1.025600016117096,0.7793999910354614,5_0113,15,13121
1995,4.699999809265137,935.5,15.699999809265137,0.7408000111579895,0.7408000111579895,5_0114,2,639
1996,4.699999809265137,1141.699951171875,15.100000381469727,0.7809000074863435,0.7408000111579895,5_0114,3,1381
1997,4.699999809265137,1217.9000244140625,15.399999618530273,0.8210000038146973,0.7408000111579895,5_0114,4,2172
1998,4.699999809265137,1196.5999755859375,17.299999237060547,0.838400000333786,0.7408000111579895,5_0114,5,3063
1999,4.699999809265137,884.2000122070312,16.700000762939453,0.8557999968528748,0.7408000111579895,5_0114,6,3950
2000,4.699999809265137,1057.800048828125,15.800000190734863,0.8731999933719635,0.7408000111579895,5_0114,7,4884
2001,4.699999809265137,1293.800048828125,16.100000381469727,0.8905999898910523,0.7408000111579895,5_0114,8,5904
2002,4.699999809265137,1353.800048828125,15.600000381469727,0.9539999961853027,0.7408000111579895,5_0114,9,6715
2003,4.699999809265137,1425.300048828125,15.100000381469727,0.9728000044822693,0.7408000111579895,5_0114,10,7706
2004,4.699999809265137,1387.800048828125,15.600000381469727,0.9372000098228455,0.7408000111579895,5_0114,11,8727
2005,4.699999809265137,1012.7999877929688,16.100000381469727,1.0731999754905701,0.7408000111579895,5_0114,12,9779
2006,4.699999809265137,1342.0999755859375,16.100000381469727,1.1919999897480011,0.7408000111579895,5_0114,13,10862
2007,4.699999809265137,1266.5999755859375,16.0,1.3108000040054322,0.7408000111579895,5_0114,14,11978
