YEAR,SN,PRECIPITATION,TEMPERATURE,IRI,INITIAL_IRI,STATION_ID,AGE,ACCUMULATED_AADTT
1997,4.199999809265137,1447.9000244140625,23.899999618530273,0.829800009727478,0.829800009727478,12_0101,2,914
1998,4.199999809265137,1480.5,24.100000381469727,0.8062000075976054,0.829800009727478,12_0101,3,1821
1999,4.199999809265137,1470.5,23.299999237060547,0.7826000054677328,0.829800009727478,12_0101,4,2749
2000,4.199999809265137,1166.9000244140625,23.200000762939453,0.7590000033378601,0.829800009727478,12_0101,5,3821
2001,4.199999809265137,1463.5,23.399999618530273,0.7784000158309936,0.829800009727478,12_0101,6,4906
2002,4.199999809265137,1584.4000244140625,23.700000762939453,0.8205999970436096,0.829800009727478,12_0101,7,6041
2003,4.199999809265137,1403.199951171875,23.100000381469727,0.8776000022888184,0.829800009727478,12_0101,8,7394
2004,4.199999809265137,1621.300048828125,22.600000381469727,0.8662000060081482,0.829800009727478,12_0101,9,8684
2005,4.199999809265137,1547.5,22.600000381469727,0.8564000129699707,0.829800009727478,12_0101,10,10117
2006,4.199999809265137,1129.199951171875,22.799999237060547,0.9407999873161316,0.829800009727478,12_0101,11,11601
2007,4.199999809265137,1306.199951171875,23.299999237060547,0.9515999913215637,0.829800009727478,12_0101,12,13158
2008,4.199999809265137,1890.0,22.799999237060547,0.9623999953269958,0.829800009727478,12_0101,13,14421
2009,4.199999809265137,1216.9000244140625,23.0,1.0112000107765198,0.829800009727478,12_0101,14,15929
2010,4.199999809265137,1137.4000244140625,21.700000762939453,1.0758000016212463,0.829800009727478,12_0101,15,17481
2011,4.199999809265137,1245.0999755859375,23.0,1.0706999957561494,0.829800009727478,12_0101,16,19077
2012,4.199999809265137,1624.5,22.700000762939453,1.0655999898910522,0.829800009727478,12_0101,17,20717
1997,3.700000047683716,1447.9000244140625,23.899999618530273,0.7606000006198883,0.7606000006198883,12_0102,2,914
1998,3.700000047683716,1480.5,24.100000381469727,0.7498000085353851,0.7606000006198883,12_0102,3,1821
