YEAR,SN,PRECIPITATION,TEMPERATURE,IRI,INITIAL_IRI,STATION_ID,AGE,ACCUMULATED_AADTT
1993,5.5,1106.300048828125,15.5,1.07260000705719,1.07260000705719,13_0502,15,5328
1994,5.5,1405.0999755859375,15.699999809265137,0.8887333393096923,1.07260000705719,13_0502,16,10879
1995,5.5,1340.699951171875,15.699999809265137,0.7048666715621947,1.07260000705719,13_0502,17,16556
1996,5.5,1355.800048828125,15.0,0.5210000038146972,1.07260000705719,13_0502,18,22361
1997,5.5,1420.5999755859375,15.199999809265137,0.5342000007629394,1.07260000705719,13_0502,19,28297
1998,5.5,1185.800048828125,17.100000381469727,0.5473999977111816,1.07260000705719,13_0502,20,34474
1999,5.5,1077.9000244140625,16.399999618530273,0.5605999946594238,1.07260000705719,13_0502,21,40836
2000,5.5,1114.5,15.699999809265137,0.5123999893665314,1.07260000705719,13_0502,22,47389
2001,5.5,1321.800048828125,15.899999618530273,0.5903999924659729,1.07260000705719,13_0502,23,54138
2002,5.5,1572.4000244140625,16.200000762939453,0.7312000036239624,1.07260000705719,13_0502,24,61090
2003,5.5,1499.800048828125,15.399999618530273,0.7601999878883362,1.07260000705719,13_0502,25,68250
2004,5.5,1328.4000244140625,16.0,0.8300000190734863,1.07260000705719,13_0502,26,75625
2005,5.5,1353.9000244140625,15.800000190734863,0.9490000128746032,1.07260000705719,13_0502,27,83222
1993,5.699999809265137,1106.300048828125,15.5,0.9639999985694885,0.9639999985694885,13_0503,15,5328
1994,5.699999809265137,1405.0999755859375,15.699999809265137,0.8209999958674112,0.9639999985694885,13_0503,16,10879
1995,5.699999809265137,1340.699951171875,15.699999809265137,0.677999993165334,0.9639999985694885,13_0503,17,16556
1996,5.699999809265137,1355.800048828125,15.0,0.5349999904632569,0.9639999985694885,13_0503,18,22361
1997,5.699999809265137,1420.5999755859375,15.199999809265137,0.5411999940872193,0.9639999985694885,13_0503,19,28297
1998,5.699999809265137,1185.800048828125,17.100000381469727,0.5473999977111816,0.9639999985694885,13_0503,20,34474
1999,5.699999809265137,1077.9000244140625,16.399999618530273,0.5536000013351441,0.9639999985694885,13_0503,21,40836
2000,5.699999809265137,1114.5,15.699999809265137,0.5397999882698059,0.9639999985694885,13_0503,22,47389
2001,5.699999809265137,1321.800048828125,15.899999618530273,0.5610000014305114,0.9639999985694885,13_0503,23,54138
