YEAR,SN,PRECIPITATION,TEMPERATURE,IRI,INITIAL_IRI,STATION_ID,AGE,ACCUMULATED_AADTT
1997,3.799999952316284,1615.4000244140625,19.600000381469727,0.7863999962806701,0.7863999962806701,22_0113,0,240
1998,3.799999952316284,1602.300048828125,20.899999618530273,0.8251428536006382,0.7863999962806701,22_0113,1,491
1999,3.799999952316284,1062.0999755859375,20.5,0.8638857109206064,0.7863999962806701,22_0113,2,752
2000,3.799999952316284,1257.699951171875,20.100000381469727,0.9026285682405745,0.7863999962806701,22_0113,3,1023
2001,3.799999952316284,1811.5,19.899999618530273,0.9413714255605425,0.7863999962806701,22_0113,4,1304
2002,3.799999952316284,2111.0,19.899999618530273,0.9801142828805106,0.7863999962806701,22_0113,5,1595
2003,3.799999952316284,1310.4000244140625,19.899999618530273,1.0188571402004787,0.7863999962806701,22_0113,6,1897
2004,3.799999952316284,1783.0,20.700000762939453,1.0575999975204469,0.7863999962806701,22_0113,7,2209
2005,3.799999952316284,1239.4000244140625,20.799999237060547,1.1279000043869019,0.7863999962806701,22_0113,8,2531
2006,3.799999952316284,1495.300048828125,20.799999237060547,1.1982000112533568,0.7863999962806701,22_0113,9,2863
2007,3.799999952316284,1687.0999755859375,20.399999618530273,1.2136000156402589,0.7863999962806701,22_0113,10,3206
2008,3.799999952316284,1262.199951171875,20.299999237060547,1.1833333174387615,0.7863999962806701,22_0113,11,3596
2009,3.799999952316284,1715.300048828125,20.399999618530273,1.351866646607717,0.7863999962806701,22_0113,12,3924
2010,3.799999952316284,1009.5,20.100000381469727,1.5203999757766724,0.7863999962806701,22_0113,13,4258
2011,3.799999952316284,965.9000244140625,20.399999618530273,1.3374000310897827,0.7863999962806701,22_0113,14,4638
2012,3.799999952316284,1732.5999755859375,20.899999618530273,1.3348000049591064,0.7863999962806701,22_0113,15,5067
2013,3.799999952316284,1480.300048828125,19.799999237060547,1.5425999879837036,0.7863999962806701,22_0113,16,5498
2014,3.799999952316284,1544.4000244140625,19.100000381469727,1.5319999933242798,0.7863999962806701,22_0113,17,5910
2015,3.799999952316284,1694.9000244140625,20.5,1.159199994802475,0.7863999962806701,22_0113,18,6314
2016,3.799999952316284,1857.199951171875,20.899999618530273,0.7863999962806701,0.7863999962806701,22_0113,19,6748
1997,6.900000095367432,1615.4000244140625,19.600000381469727,0.5906000018119812,0.5906000018119812,22_0114,0,240
1998,6.900000095367432,1602.300048828125,20.899999618530273,0.6163714289665223,0.5906000018119812,22_0114,1,491
1999,6.900000095367432,1062.0999755859375,20.5,0.6421428561210633,0.5906000018119812,22_0114,2,752
2000,6.900000095367432,1257.699951171875,20.100000381469727,0.6679142832756043,0.5906000018119812,22_0114,3,1023
2001,6.900000095367432,1811.5,19.899999618530273,0.6936857104301453,0.5906000018119812,22_0114,4,1304
2002,6.900000095367432,2111.0,19.899999618530273,0.7194571375846863,0.5906000018119812,22_0114,5,1595
2003,6.900000095367432,1310.4000244140625,19.899999618530273,0.7452285647392274,0.5906000018119812,22_0114,6,1897
2004,6.900000095367432,1783.0,20.700000762939453,0.7709999918937683,0.5906000018119812,22_0114,7,2209
2005,6.900000095367432,1239.4000244140625,20.799999237060547,0.7753999948501586,0.5906000018119812,22_0114,8,2531
2006,6.900000095367432,1495.300048828125,20.799999237060547,0.7797999978065491,0.5906000018119812,22_0114,9,2863
2007,6.900000095367432,1687.0999755859375,20.399999618530273,0.7170000076293945,0.5906000018119812,22_0114,10,3206
2008,6.900000095367432,1262.199951171875,20.299999237060547,0.6765000075101852,0.5906000018119812,22_0114,11,3596
2009,6.900000095367432,1715.300048828125,20.399999618530273,0.7850500032305717,0.5906000018119812,22_0114,12,3924
2010,6.900000095367432,1009.5,20.100000381469727,0.8935999989509582,0.5906000018119812,22_0114,13,4258
2011,6.900000095367432,965.9000244140625,20.399999618530273,0.7435999870300293,0.5906000018119812,22_0114,14,4638
2012,6.900000095367432,1732.5999755859375,20.899999618530273,0.7007999897003174,0.5906000018119812,22_0114,15,5067
2013,6.900000095367432,1480.300048828125,19.799999237060547,0.7353999972343445,0.5906000018119812,22_0114,16,5498
2014,6.900000095367432,1544.4000244140625,19.100000381469727,0.7435999989509583,0.5906000018119812,22_0114,17,5910
2015,6.900000095367432,1694.9000244140625,20.5,0.7815000057220459,0.5906000018119812,22_0114,18,6314
2016,6.900000095367432,1857.199951171875,20.899999618530273,0.8194000124931335,0.5906000018119812,22_0114,19,6748
1997,6.599999904632568,1615.4000244140625,19.600000381469727,0.6258000135421753,0.6258000135421753,22_0115,0,240
1998,6.599999904632568,1602.300048828125,20.899999618530273,0.6348285828317914,0.6258000135421753,22_0115,1,491
1999,6.599999904632568,1062.0999755859375,20.5,0.6438571521214077,0.6258000135421753,22_0115,2,752
2000,6.599999904632568,1257.699951171875,20.100000381469727,0.6528857214110239,0.6258000135421753,22_0115,3,1023
2001,6.599999904632568,1811.5,19.899999618530273,0.66191429070064,0.6258000135421753,22_0115,4,1304
2002,6.599999904632568,2111.0,19.899999618530273,0.6709428599902562,0.6258000135421753,22_0115,5,1595
2003,6.599999904632568,1310.4000244140625,19.899999618530273,0.6799714292798724,0.6258000135421753,22_0115,6,1897
2004,6.599999904632568,1783.0,20.700000762939453,0.6889999985694886,0.6258000135421753,22_0115,7,2209
2005,6.599999904632568,1239.4000244140625,20.799999237060547,0.7300000011920929,0.6258000135421753,22_0115,8,2531
2006,6.599999904632568,1495.300048828125,20.799999237060547,0.7710000038146972,0.6258000135421753,22_0115,9,2863
2007,6.599999904632568,1687.0999755859375,20.399999618530273,0.7284000039100647,0.6258000135421753,22_0115,10,3206
2008,6.599999904632568,1262.199951171875,20.299999237060547,0.6779999931653341,0.6258000135421753,22_0115,11,3596
2009,6.599999904632568,1715.300048828125,20.399999618530273,0.7720999936262767,0.6258000135421753,22_0115,12,3924
2010,6.599999904632568,1009.5,20.100000381469727,0.8661999940872193,0.6258000135421753,22_0115,13,4258
2011,6.599999904632568,965.9000244140625,20.399999618530273,0.7441999912261963,0.6258000135421753,22_0115,14,4638
2012,6.599999904632568,1732.5999755859375,20.899999618530273,0.7282000064849854,0.6258000135421753,22_0115,15,5067
2013,6.599999904632568,1480.300048828125,19.799999237060547,0.7085999965667724,0.6258000135421753,22_0115,16,5498
2014,6.599999904632568,1544.4000244140625,19.100000381469727,0.7501999974250794,0.6258000135421753,22_0115,17,5910
2015,6.599999904632568,1694.9000244140625,20.5,0.724700003862381,0.6258000135421753,22_0115,18,6314
2016,6.599999904632568,1857.199951171875,20.899999618530273,0.6992000102996826,0.6258000135421753,22_0115,19,6748
1997,6.199999809265137,1615.4000244140625,19.600000381469727,0.6430000066757202,0.6430000066757202,22_0116,0,240
