YEAR,SN,PRECIPITATION,TEMPERATURE,IRI,INITIAL_IRI,STATION_ID,AGE,ACCUMULATED_AADTT
1990,5.0,1577.4000244140625,18.0,1.0551000237464905,1.0551000237464905,28_0501,17,967
1991,5.0,1830.199951171875,18.200000762939453,1.1044500052928925,1.0551000237464905,28_0501,18,1977
1992,5.0,1225.0999755859375,17.399999618530273,1.1537999868392945,1.0551000237464905,28_0501,19,3116
1993,5.0,1175.800048828125,17.100000381469727,1.2506999969482422,1.0551000237464905,28_0501,20,4270
1994,5.0,1304.300048828125,17.100000381469727,1.3476000070571899,1.0551000237464905,28_0501,21,5497
1995,5.0,1099.0999755859375,17.200000762939453,1.544600009918213,1.0551000237464905,28_0501,22,6851
1996,5.0,1152.9000244140625,17.200000762939453,1.5638500034809113,1.0551000237464905,28_0501,23,8110
1997,5.0,1752.0999755859375,16.899999618530273,1.5830999970436097,1.0551000237464905,28_0501,24,9426
1998,5.0,1271.800048828125,18.5,1.602349990606308,1.0551000237464905,28_0501,25,10801
1999,5.0,1332.300048828125,18.200000762939453,1.6215999841690063,1.0551000237464905,28_0501,26,12473
1990,4.300000190734863,1577.4000244140625,18.0,1.9956999897956849,1.9956999897956849,28_0502,17,967
1991,4.300000190734863,1830.199951171875,18.200000762939453,1.6491499960422518,1.9956999897956849,28_0502,18,1977
1992,5.300000190734863,1225.0999755859375,17.399999618530273,1.3026000022888184,1.9956999897956849,28_0502,19,3116
1993,5.300000190734863,1175.800048828125,17.100000381469727,1.3564000010490418,1.9956999897956849,28_0502,20,4270
1994,5.300000190734863,1304.300048828125,17.100000381469727,1.4101999998092651,1.9956999897956849,28_0502,21,5497
1995,5.300000190734863,1099.0999755859375,17.200000762939453,1.653600001335144,1.9956999897956849,28_0502,22,6851
1996,5.300000190734863,1152.9000244140625,17.200000762939453,1.6637000024318693,1.9956999897956849,28_0502,23,8110
1997,5.300000190734863,1752.0999755859375,16.899999618530273,1.673800003528595,1.9956999897956849,28_0502,24,9426
1998,5.300000190734863,1271.800048828125,18.5,1.6839000046253205,1.9956999897956849,28_0502,25,10801
1999,5.300000190734863,1332.300048828125,18.200000762939453,1.694000005722046,1.9956999897956849,28_0502,26,12473
1990,4.599999904632568,1577.4000244140625,18.0,2.251799976825714,2.251799976825714,28_0503,17,967
1991,4.599999904632568,1830.199951171875,18.200000762939453,1.959099990129471,2.251799976825714,28_0503,18,1977
1992,6.599999904632568,1225.0999755859375,17.399999618530273,1.6664000034332276,2.251799976825714,28_0503,19,3116
1993,6.599999904632568,1175.800048828125,17.100000381469727,1.7133000135421752,2.251799976825714,28_0503,20,4270
1994,6.599999904632568,1304.300048828125,17.100000381469727,1.760200023651123,2.251799976825714,28_0503,21,5497
1995,6.599999904632568,1099.0999755859375,17.200000762939453,1.9851999759674073,2.251799976825714,28_0503,22,6851
1996,6.599999904632568,1152.9000244140625,17.200000762939453,1.9242499768733978,2.251799976825714,28_0503,23,8110
1997,6.599999904632568,1752.0999755859375,16.899999618530273,1.8632999777793886,2.251799976825714,28_0503,24,9426
1998,6.599999904632568,1271.800048828125,18.5,1.8023499786853792,2.251799976825714,28_0503,25,10801
1999,6.599999904632568,1332.300048828125,18.200000762939453,1.7413999795913697,2.251799976825714,28_0503,26,12473
1990,5.300000190734863,1577.4000244140625,18.0,1.810800015926361,1.810800015926361,28_0504,17,967
1991,5.300000190734863,1830.199951171875,18.200000762939453,1.4911000192165376,1.810800015926361,28_0504,18,1977
1992,7.5,1225.0999755859375,17.399999618530273,1.1714000225067138,1.810800015926361,28_0504,19,3116
1993,7.5,1175.800048828125,17.100000381469727,1.2440000057220457,1.810800015926361,28_0504,20,4270
1994,7.5,1304.300048828125,17.100000381469727,1.3165999889373778,1.810800015926361,28_0504,21,5497
1995,7.5,1099.0999755859375,17.200000762939453,1.5639999866485597,1.810800015926361,28_0504,22,6851
1996,7.5,1152.9000244140625,17.200000762939453,1.5342499971389771,1.810800015926361,28_0504,23,8110
1997,7.5,1752.0999755859375,16.899999618530273,1.5045000076293946,1.810800015926361,28_0504,24,9426
1998,7.5,1271.800048828125,18.5,1.474750018119812,1.810800015926361,28_0504,25,10801
1999,7.5,1332.300048828125,18.200000762939453,1.4450000286102296,1.810800015926361,28_0504,26,12473
1990,4.900000095367432,1577.4000244140625,18.0,1.7332000136375427,1.7332000136375427,28_0505,17,967
1991,4.900000095367432,1830.199951171875,18.200000762939453,1.6900000035762788,1.7332000136375427,28_0505,18,1977
1992,5.699999809265137,1225.0999755859375,17.399999618530273,1.6467999935150146,1.7332000136375427,28_0505,19,3116
1993,5.699999809265137,1175.800048828125,17.100000381469727,1.6723999977111816,1.7332000136375427,28_0505,20,4270
1994,5.699999809265137,1304.300048828125,17.100000381469727,1.6980000019073487,1.7332000136375427,28_0505,21,5497
1995,5.699999809265137,1099.0999755859375,17.200000762939453,1.8236000299453736,1.7332000136375427,28_0505,22,6851
