YEAR,SN,PRECIPITATION,TEMPERATURE,IRI,INITIAL_IRI,STATION_ID,AGE,ACCUMULATED_AADTT
1990,3.400000095,753,21.10000038,0.673599982,0.673599982,48_0001,1,118
1991,3.400000095,1311.599976,20.20000076,0.691999984,0.673599982,48_0001,2,251
1992,3.400000095,1186.199951,20.10000038,0.710399985,0.673599982,48_0001,3,465
1993,3.400000095,712.5999756,19.89999962,0.720599997,0.673599982,48_0001,4,718
1994,3.400000095,1002.099976,20.70000076,0.733499998,0.673599982,48_0001,5,1011
1995,3.400000095,861,20.29999924,0.746399999,0.673599982,48_0001,6,1353
1996,3.400000095,740.7999878,20.5,0.750900012,0.673599982,48_0001,7,1736
1997,3.400000095,1185.699951,19.39999962,0.755400026,0.673599982,48_0001,8,1996
1998,3.400000095,998.0999756,21.29999924,0.762999988,0.673599982,48_0001,9,2375
1999,3.400000095,611.7000122,21.39999962,0.799400008,0.673599982,48_0001,10,2769
2000,3.400000095,984.9000244,20.89999962,0.945700008,0.673599982,48_0001,11,3162
2001,3.400000095,1107.199951,20.10000038,1.092000008,0.673599982,48_0001,12,3591
2002,3.400000095,943.5999756,20.20000076,1.191799998,0.673599982,48_0001,13,4032
2003,3.400000095,568.4000244,20.5,1.271799999,0.673599982,48_0001,14,4490
2004,3.400000095,1315.699951,20.39999962,1.351800001,0.673599982,48_0001,15,4910
2005,3.400000095,593.7000122,20.79999924,1.502799996,0.673599982,48_0001,16,5607
2006,3.400000095,835.5999756,21.60000038,1.653799991,0.673599982,48_0001,17,6358
2007,3.400000095,1197.699951,20.10000038,1.804799986,0.673599982,48_0001,18,7104
1997,6.800000191,678,22.79999924,1.028800011,1.028800011,48_0113,0,1054
1998,6.800000191,626.7000122,24.29999924,1.088599992,1.028800011,48_0113,1,2139
1999,6.800000191,613.5999756,24.10000038,1.073399973,1.028800011,48_0113,2,3257
2000,6.800000191,436.6000061,24,1.058199978,1.028800011,48_0113,3,4365
2001,6.800000191,545.9000244,23.70000076,1.118499982,1.028800011,48_0113,4,5499
2002,6.800000191,635.7000122,23.70000076,1.06214999,1.028800011,48_0113,5,6746
2003,6.800000191,850.9000244,23.39999962,1.005799997,1.028800011,48_0113,6,8290
2004,6.800000191,659.5999756,23.60000038,1.038849998,1.028800011,48_0113,7,9497
2005,6.800000191,403.2999878,24.10000038,1.071899998,1.028800011,48_0113,8,10652
2006,6.800000191,576.2999878,24.29999924,1.120549995,1.028800011,48_0113,9,12083
2007,6.800000191,553.7999878,23.29999924,1.169199991,1.028800011,48_0113,10,13778
1997,7.900000095,678,22.79999924,0.806599998,0.806599998,48_0114,0,1054
1998,7.900000095,626.7000122,24.29999924,0.901800001,0.806599998,48_0114,1,2139
1999,7.900000095,613.5999756,24.10000038,0.877800012,0.806599998,48_0114,2,3257
2000,7.900000095,436.6000061,24,0.8426,0.806599998,48_0114,3,4365
2001,7.900000095,545.9000244,23.70000076,0.882499999,0.806599998,48_0114,4,5499
2002,7.900000095,635.7000122,23.70000076,0.919349995,0.806599998,48_0114,5,6746
2003,7.900000095,850.9000244,23.39999962,0.956199992,0.806599998,48_0114,6,8290
2004,7.900000095,659.5999756,23.60000038,0.969099993,0.806599998,48_0114,7,9497
2005,7.900000095,403.2999878,24.10000038,0.981999993,0.806599998,48_0114,8,10652
2006,7.900000095,576.2999878,24.29999924,1.000799996,0.806599998,48_0114,9,12083
2007,7.900000095,553.7999878,23.29999924,1.019599998,0.806599998,48_0114,10,13778
1997,7.300000191,678,22.79999924,0.880999994,0.880999994,48_0115,0,1054
1998,7.300000191,626.7000122,24.29999924,0.996599972,0.880999994,48_0115,1,2139
1999,7.300000191,613.5999756,24.10000038,1.28440001,0.880999994,48_0115,2,3257
2000,7.300000191,436.6000061,24,1.164199996,0.880999994,48_0115,3,4365
2001,7.300000191,545.9000244,23.70000076,1.215799999,0.880999994,48_0115,4,5499
